X,Y,ID,FacilityID,LotName,Community,Address,City,State,Zipcode,Lat,Lon,ConvenientTo,Type,Hours,HourlyCost,DailyCost,MonthlyCost,SpecialFeatures,Spaces,Status
-118.2132771,34.1384339,321,686,Caspar & Merton Parking Lot,Eagle Rock,5063 Caspar Ave,Eagle Rock,CA,90041-1967,34.138429,-118.213265,Restaurants & shops,Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit,29,Operational
-118.6004772,34.19997489,322,687,Remmet & Sherman Way West Parking Lot,Canoga Park,7141 Remmet Ave,Canoga Park,CA,91303-2016,34.19997,-118.600465,Restaurants & shops,Free,24 hours Daily,Free,Free,N/A,2 hrs max time limit,21,Operational
-118.3846012,34.05592988,323,688,Clark & Pico Parking Garage,Crestview,1156 Clark Dr,Los Angeles,CA,90035-1400,34.055925,-118.384589,Restaurants & shops,Metered,7am-9pm Daily,$0.75 ,$3.00 ,N/A,10 hrs max time limit; max height clearance 6 feet 2 inches,27,Operational
-118.3851782,34.05494588,324,689,Pico & Robertson Parking Lot,Crestview,8866 Pico Blvd,Los Angeles,CA,90035-3302,34.054941,-118.385166,Restaurants & shops,Metered,7am-9pm Daily,$0.75 ,$3.00 ,N/A,10 hrs max time limit,39,Operational
-118.3990472,34.14341189,325,690,Ventura & Laurel Canyon Parking Garage,Studio City,12225 Ventura Blvd,Studio City,CA,91604-2519,34.143407,-118.399035,Restaurants & shops,Operated,"7am-10:30pm Sun-Thu, 7am-12 midnight Fri-Sat","First 20 minutes free, $0.30 per 20 min thereafter",$6.00 ,$47.50 ,Closed nightly; max height clearance 8 feet 2 inches,393,Operational
-118.2914831,34.06055989,326,691,Vermont & Wilshire Parking Lot,Wilshire Center,682 S Vermont Ave,Los Angeles,CA,90005-1348,34.060555,-118.291471,Restaurants & shops,Operated,8am-6pm Mon-Fri,$3.00 ,$5.00 ,$60.00 ,"$2.00 flat rate after 3pm; Monthly Day Permit: $60.00, 8am-6pm Daily; Monthly Night Permit: $40.00, 6pm-8am Nightly",65,Operational
-118.2917971,34.06346489,327,692,Vermont & 6th Parking Lot,Wilshire Center,601 S Vermont Ave,Los Angeles,CA,90005-1347,34.06346,-118.291785,Restaurants & shops,Metered,7am-9pm Daily,$0.75 ,$3.00 ,N/A,10 hrs max time limit,57,Operational
-118.3237771,34.07474489,328,694,Larchmont & 1st Parking Lot,Hancock Park,209 N Larchmont Blvd,Los Angeles,CA,90004-3706,34.07474,-118.323765,"Larchmont Village, restaurants & shops",Metered,7am-12 midnight Daily,$1.00 ,$2.00/2 hrs,N/A,2 hrs max time limit; no parking 7am-3pm Sun for Farmers Market (free parking available in Parking Lot 732),34,Operational
-118.1932381,34.1098139,329,695,Ave 57 & Marmion Parking Lot,Highland Park,123 N Avenue 57,Highland Park,CA,90042-4115,34.109809,-118.193226,"Metro Gold Line Station, restaurants & shops",Metered & Free,4am-2pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit; free parking with 2 hrs max time limit,38,Operational
-118.2627151,33.78046186,330,696,Avalon & I St Parking Lot,Wilmington,835 Avalon Blvd,Wilmington,CA,90744-4501,33.780457,-118.262703,Wilmington Town Square,Free,24 hours Daily,Free,Free,N/A,2 hrs max time limit,14,Operational
