zip,facility_type,ev_slow,ev_dc_fast_count,spaces
91125,COLLEGE_CAMPUS,117.0,12.0,
91203,BANK,1.0,0.0,
91204,CAR_DEALER,1.0,0.0,
91204,SHOPPING_MALL,29.0,0.0,
91206,SHOPPING_MALL,3.0,0.0,
91210,SHOPPING_MALL,4.0,0.0,
91214,MUNI_GOV,1.0,0.0,
91301,MUNI_GOV,5.0,0.0,
91301,OFFICE_BLDG,8.0,0.0,
91302,PARK,2.0,0.0,
91303,OFFICE_BLDG,6.0,0.0,18.0
91303,OFFICE_BLDG,6.0,0.0,73.0
91303,OFFICE_BLDG,6.0,0.0,56.0
91303,PARKING_LOT,3.0,0.0,18.0
91303,PARKING_LOT,3.0,0.0,73.0
91303,PARKING_LOT,3.0,0.0,56.0
91303,UTILITY,2.0,0.0,18.0
91303,UTILITY,2.0,0.0,73.0
91303,UTILITY,2.0,0.0,56.0
91304,UTILITY,4.0,0.0,
91307,SCHOOL,2.0,0.0,
91311,PARKING_LOT,6.0,0.0,
91311,SHOPPING_CENTER,2.0,0.0,
91311,UTILITY,4.0,0.0,
91320,NATL_PARK,1.0,0.0,
91320,OFFICE_BLDG,16.0,0.0,
91320,SHOPPING_CENTER,8.0,0.0,
91324,PARKING_LOT,4.0,0.0,
91324,SHOPPING_MALL,12.0,0.0,
91325,UTILITY,1.0,0.0,
91326,GROCERY,2.0,0.0,
91329,OFFICE_BLDG,6.0,0.0,
91330,COLLEGE_CAMPUS,22.0,0.0,
91340,PARKING_LOT,0.0,12.0,
91340,UTILITY,1.0,0.0,
91342,HOSPITAL,2.0,0.0,
91342,PARKING_LOT,4.0,0.0,
91343,CAR_DEALER,2.0,0.0,
91343,UTILITY,1.0,0.0,
91344,SHOPPING_MALL,0.0,16.0,
91345,CAR_DEALER,1.0,0.0,
91345,UTILITY,2.0,0.0,
91351,PARKING_LOT,0.0,1.0,
91352,UTILITY,1.0,0.0,
91355,CAR_DEALER,5.0,0.0,
91355,COLLEGE_CAMPUS,57.0,0.0,
91355,MUNI_GOV,1.0,0.0,
91355,OFFICE_BLDG,1.0,0.0,
91355,OTHER_ENTERTAINMENT,4.0,0.0,
91355,SHOPPING_CENTER,12.0,0.0,
91355,STATE_GOV,10.0,0.0,
91356,GROCERY,2.0,0.0,
91360,CARWASH,1.0,0.0,
91360,HOTEL,3.0,0.0,
91360,PARKING_GARAGE,2.0,0.0,
91360,SHOPPING_CENTER,5.0,0.0,
91361,HOTEL,4.0,0.0,
91361,SHOPPING_CENTER,2.0,0.0,
91362,CAR_DEALER,1.0,0.0,
91362,HOTEL,4.0,0.0,
91362,OFFICE_BLDG,2.0,0.0,
91362,SHOPPING_CENTER,2.0,0.0,
91364,OFFICE_BLDG,6.0,0.0,28.0
91364,UTILITY,1.0,0.0,28.0
91367,SCHOOL,2.0,0.0,
91367,SHOPPING_CENTER,2.0,0.0,
91384,RV_PARK,1.0,1.0,
91401,CAR_DEALER,1.0,0.0,683.0
91402,GROCERY,2.0,0.0,
91402,UTILITY,1.0,0.0,
91403,GROCERY,7.0,0.0,42.0
91403,GROCERY,7.0,0.0,218.0
91405,PARKING_GARAGE,5.0,2.0,
91405,PARKING_LOT,4.0,0.0,
91405,UTILITY,0.0,2.0,
91406,AIRPORT,4.0,0.0,
91406,SCHOOL,2.0,0.0,
91411,UTILITY,1.0,0.0,270.0
91423,GROCERY,2.0,0.0,
91423,SHOPPING_CENTER,4.0,0.0,
91423,UTILITY,1.0,0.0,
91436,PARKING_LOT,7.0,0.0,
91436,REC_SPORTS_FACILITY,1.0,0.0,
91502,HOTEL,6.0,0.0,
91502,SHOPPING_CENTER,2.0,0.0,
91504,HOTEL,1.0,0.0,
91504,PARKING_GARAGE,6.0,0.0,
91505,HOTEL,4.0,0.0,
91505,MULTI_UNIT_DWELLING,10.0,0.0,
91601,SHOPPING_MALL,1.0,0.0,92.0
91601,SHOPPING_MALL,1.0,0.0,47.0
91601,SHOPPING_MALL,1.0,0.0,46.0
91601,UTILITY,1.0,0.0,92.0
91601,UTILITY,1.0,0.0,47.0
91601,UTILITY,1.0,0.0,46.0
91602,HOTEL,2.0,0.0,
91602,UTILITY,1.0,0.0,
91604,OFFICE_BLDG,2.0,0.0,393.0
91604,PARKING_LOT,4.0,0.0,393.0
91604,UTILITY,1.0,0.0,393.0
91605,UTILITY,1.0,0.0,
91606,OTHER_ENTERTAINMENT,2.0,0.0,
91701,PARK,1.0,0.0,
91701,SHOPPING_MALL,2.0,0.0,
91702,MUNI_GOV,4.0,0.0,
91702,PARKING_GARAGE,6.0,0.0,
91702,UTILITY,2.0,0.0,
91706,REC_SPORTS_FACILITY,20.0,0.0,
91709,HOTEL,3.0,0.0,
91710,SHOPPING_CENTER,2.0,0.0,
91711,SHOPPING_CENTER,2.0,0.0,
91723,HOSPITAL,4.0,0.0,
91730,FIRE_STATION,1.0,0.0,
91730,FLEET_GARAGE,1.0,0.0,
91730,LIBRARY,1.0,0.0,
91730,MUNI_GOV,2.0,0.0,
91730,OFFICE_BLDG,1.0,0.0,
91730,PARK,1.0,0.0,
91730,PARKING_LOT,2.0,0.0,
91730,REC_SPORTS_FACILITY,1.0,0.0,
91731,AIRPORT,2.0,0.0,
91731,CAR_DEALER,2.0,0.0,
91731,HOSPITAL,6.0,0.0,
91731,SCHOOL,5.0,0.0,
91731,STATE_GOV,3.0,0.0,
91732,SCHOOL,14.0,0.0,
91733,SCHOOL,7.0,0.0,
91737,PARK,1.0,0.0,
91740,SHOPPING_CENTER,2.0,0.0,
91741,MUNI_GOV,3.0,0.0,
91744,HOTEL,4.0,0.0,
91748,CAR_DEALER,2.0,0.0,
91748,HOTEL,2.0,0.0,
91750,COLLEGE_CAMPUS,10.0,0.0,
91754,MUNI_GOV,1.0,0.0,
91754,PARKING_GARAGE,2.0,0.0,
91761,AIRPORT,6.0,0.0,
91761,CAR_DEALER,4.0,1.0,
91761,REC_SPORTS_FACILITY,8.0,0.0,
91762,REC_SPORTS_FACILITY,6.0,0.0,
91763,CAR_DEALER,1.0,1.0,
91763,SHOPPING_MALL,2.0,0.0,
91764,ARENA,12.0,0.0,
91764,CONVENTION_CENTER,5.0,0.0,
91764,HOTEL,5.0,0.0,
91764,INN,4.0,0.0,
91764,LIBRARY,6.0,0.0,
91764,MUNI_GOV,5.0,0.0,
91765,HOTEL,4.0,0.0,
91768,COLLEGE_CAMPUS,48.0,0.0,
91770,HOTEL,1.0,0.0,
91770,MUNI_GOV,2.0,0.0,
91770,OFFICE_BLDG,60.0,0.0,
91770,SCHOOL,7.0,0.0,
91773,MUNI_GOV,5.0,0.0,
91773,PARKING_LOT,7.0,0.0,
91775,SCHOOL,3.0,0.0,
91776,HOTEL,0.0,16.0,
91780,MUNI_GOV,1.0,0.0,
91789,GAS_STATION,0.0,2.0,
91789,MUNI_GOV,1.0,0.0,
91789,OFFICE_BLDG,4.0,0.0,
