Fuel Type Code,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude,EV Connector Types,Facility Type,EV Pricing
ELEC,Vancouver Ford,6801 NE 40th St,Vancouver,WA,98661,,2,,45.650388,-122.604007,J1772,CAR_DEALER,Free
ELEC,VIA6 VIA6-SOUTH,2121 6th Ave,Seattle,WA,98121,,2,,47.613883,-122.339405,J1772,,
ELEC,800 FIFTH AVE STATION 2,800  5th Ave,Seattle,WA,98104,,2,,47.605599,-122.330626,J1772,,
ELEC,Campbell's Lake Chelan Resort,104 W Woodin Ave,Chelan,WA,98816,,1,,47.8399,-120.0199,J1772,HOTEL,Free
ELEC,Pine Near RV Park,316 Castle Ave,Winthrop,WA,98862,,1,,48.476543,-120.180796,J1772,RV_PARK,Free
ELEC,Omak Inn,912 Koala Dr,Omak,WA,98841,,1,,48.421424,-119.503978,J1772,INN,Free
ELEC,59er Diner,15361 US 2,Leavenworth,WA,98826,,1,,47.758434,-120.742416,J1772,RESTAURANT,Free
ELEC,Pateros Lakeshore Inn,312 Lakeshore Dr,Pateros,WA,98846,,1,,48.051825,-119.901506,J1772,HOTEL,Free
ELEC,Birkenstock,17506 NE Delfel Ct,Ridgefield,WA,98642,,1,,45.748069,-122.662816,J1772,PARKING_LOT,Free
ELEC,PARKMETRO1 PARK METRO #1,11101 NE 12th St,Bellevue,WA,98004,,2,,47.620793,-122.192469,J1772,,
ELEC,VALLEY MED CTR MAIN LOT #8,4109-4251 Talbot Rd S,Renton,WA,98055,,2,,47.443123,-122.212538,J1772,,
ELEC,Haselwood Chevrolet Buick GMC,501 W Hills Blvd,Bremerton,WA,98312,,1,,47.557801,-122.675335,J1772,CAR_DEALER,Free
ELEC,Lakeside 24 Hour Fuel,16835 Lewis River Rd,Cougar,WA,98616,,1,,46.051228,-122.301754,J1772,GAS_STATION,$5 per session
ELEC,AWNISSAN QUICK CHARGER 1,3608 NE Auto Mall Dr,Vancouver,WA,98662,,,1,45.648181,-122.59837,CHADEMO,,
ELEC,MI SCHOOLS BOYS&GIRLS CLUB,4120 86th Ave NE,Mercer Island,WA,98040,,2,,47.572423,-122.223262,J1772,,
ELEC,MI SCHOOLS ADMIN BUILDING,4160 86th Ave SE,Mercer Island,WA,98040,,2,,47.571243,-122.223155,J1772,,
ELEC,SCH CHILDREN'S #2,4800 Sand Point Way NE Seattle WA 98105,Seattle,WA,98105,,2,,47.661983,-122.280547,J1772,,
ELEC,Kitsap Transit WA Harborside Parking Garage,60 Washington Ave,Bremerton,WA,98337,,4,,47.563581,-122.625317,J1772,,
ELEC,BMW TRI-CITIES STATION 01,1201-1299 Aaron Dr,Richland,WA,99352,,2,,46.260176,-119.280814,J1772,,
ELEC,Semiahmoo Resort,9565 Semiahmoo Pkwy,Blaine,WA,98230,,1,,48.989751,-122.773271,J1772,HOTEL,
ELEC,Pybus Public Market,7 N Worthen St,Wenatchee,WA,98801,,1,,47.425375,-120.307608,J1772,GROCERY,Free
ELEC,UDR ASHTON BELL #2,10710 NE 10th St,Bellevue,WA,98004,,2,,47.619772,-122.197194,J1772,,
